SMILES,Label
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/NCC(F)(F)F,Active
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccsc4)cc3F)ncnc2cc1OC,Inactive
O=C(Nc1ccncc1)Nc1cc(-c2cncnc2)ccc1OC(F)(F)F,Active
CS(=O)(=O)C[C@H](N)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Active
COc1cc(N2CCC(N3CCN(CCS(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,Inactive
CCN1CCC(n2cc([C@@H](Nc3cc(Cl)c4ncnc(Nc5ccc(F)c(Cl)c5)c4c3)c3ccc(Cl)cc3)nn2)CC1,Active
CCc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,Active
O=C(Nc1cc2c(Nc3ccc(F)c(F)c3)ncnc2cc1OCCCN1CCOCC1)c1cc([N+](=O)[O-])ccc1F,Active
COc1cc2c(Nc3cc(Cl)c(Br)cc3F)ncnc2cc1OC[C@H]1CN2CCOCC2CO1,Active
CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(Cl)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,Active
Cc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,Inactive
Clc1cc(Nc2ncnc3[nH]nc(OCCCN4CCOCC4)c23)ccc1OCc1ccccn1,Active
Cc1nc(F)ccc1C(Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,Active
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(CN2CCOCC2)cs1,Active
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,Inactive
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(N4CCN(CCO)CC4)c3)ncc2F)c1,Active
CN(C)C/C=C/C(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,Active
COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,Inactive
C=CC(=O)Nc1cc2c(Nc3cc(Cl)c(Br)cc3F)ncnc2cc1OCCNC(=O)CN(C)C,Active
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(CC(N)=O)CC1,Active
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(CN3CCC(C(=O)NO)CC3)cc2)ncc1Cl,Active
COc1cc2ncnc(N(C)c3ccc(C)cc3)c2cc1OC.Cl,Inactive
CCNC(=O)Nc1ccc(Nc2ncnc3cc(OCCN(CC)CC)c(OC)cc23)cc1,Inactive
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,Active
Nc1ncnc2c1c(-c1cccc(OCC34CCC(CC3)O4)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,Inactive
CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCN(CCOC)CC4)cc3OC)n2)cc1C(=O)Nc1c(F)cccc1F,Inactive
CCN(CC)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,Active
COc1ccc2c(c1)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2,Inactive
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(C)cc4)cc3F)ncnc2cc1OC,Inactive
COc1cc2cc(-c3ccc(O)nc3)cnc2cc1OC,Inactive
CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,Inactive
CO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2CC(C)C)CCc1nn(C)cc1-4)C(=O)NC3,Inactive
O=C(NCCCN1CCOCC1)c1ccc(N(CCCl)CCCl)cc1,Inactive
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(-c4ccc(F)cc4)ccn3)cc2)c(C(N)=O)n1N,Active
C=CC(=O)Nc1cc(Nc2ncc3ccc(-c4cnc5ccccc5c4)n3n2)c(OC)cc1N1CCC(N(C)C)CC1,Active
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CCCCC1,Active
CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,Inactive
COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CC[S+]([O-])CC1,Active
COc1ccc(C)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,Inactive
NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccnc5)c4)c23)CC1,Active
COc1cc(N2CCC(N3CCN(CCF)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3c(C)cccn23)n1,Active
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)cc1Cl,Active
CN(C)CCN(C)c1c(Br)cccc1Nc1ncnc2ccncc12,Active
COC(=O)c1ccccc1SCC(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,Inactive
COc1ccc(C(=O)Nc2ccc(Nc3ncnc4cc(OCc5ccccc5)c(OC)cc34)cc2)cc1,Inactive
O=C(O)CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)O)[nH]c2ccccc12,Inactive
N#C/C(=C\c1ccc2[nH]ccc2c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc2[nH]ccc2c1,Inactive
Cc1cccc(C)c1Nc1ncc(-c2ccc(OCC3CCCN(C)C3)cc2)n2cncc12.Cl,Inactive
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(=O)C(C)(C)C)CCO1,Active
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC.Cl,Active
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)c2ccc(S(=O)(=O)Oc3ccc(/C=C/[N+](=O)[O-])cc3)cc2)[C@@H](O)[C@H]1O,Active
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,Active
Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=C(F)N(C)NN1,Active
COC1(CCN2CCN(c3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1,Inactive
C=CC(=O)N1CCC(OC2=CC3C(Nc4ccc(Cl)c(Cl)c4F)=C(C#N)C=NC3C=C2OC)CC1,Inactive
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1,Inactive
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@H]2C[C@H](O)CN2C(=O)[C@@H](NC(=O)CN2CCN(CCCOCC#Cc3cccc4c3C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)CC2)C(C)(C)C)cc1,Inactive
O=C1c2cc(-c3ccc(N4CCNCC4)cc3)ccc2Nc2ccc(F)cc2N1c1ccccc1,Inactive
C=CC(=O)N[C@H]1CC[C@@H](n2nc(C(=O)Nc3nc4cc(Cl)ccc4o3)c3c(N)ncnc32)CC1,Active
Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,Inactive
c1csc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)c1,Inactive
C=CC(=O)Nc1cc2c(Nc3ccc(F)cc3F)ncnc2cc1OCCNC(=O)CN(C)C,Active
COc1cc(C2NCCc3c2[nH]c2ccccc32)ccc1OCc1ccccc1,Inactive
Nc1ccc(CNc2ncnc3cc(N)ncc23)cc1,Inactive
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)C(F)(F)F)CC1,Active
COc1cc(OC)c2cc(-c3ccsc3)cnc2c1,Inactive
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)c(OCCN2CCN(Cc3ccc(-c4cc5c(NCc6ccccc6Cl)ncnc5[nH]4)cc3)CC2)c1,Inactive
COc1cc(C2CCN(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,Inactive
C=CS(=O)(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,Active
CC(=O)CCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,Active
COc1cc(O)c2c(c1)CCN(c1cccc(C(=O)N3CCCCC3)c1)C2=O,Inactive
COc1cc(C(C#N)=C(C#N)C#N)cc(OC)c1O,Inactive
COC(CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1)OC,Active
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1nccn1C,Active
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,Inactive
Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C(F)(F)F)c2c1)C1=CN(C(C)(C)C)NN1,Active
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCC1CN(C)CC(C)(C)O1,Active
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1csc([C@@H]2CCCN2)n1,Active
COc1cc(C(=NC#N)c2csc(-c3ccccc3)n2)cc(OC)c1OC,Active
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1,Active
COc1cc2cc(-c3cccnc3)cnc2cc1OC,Inactive
O=c1ccc2ccc(O)c(O)c2o1,Inactive
C/C=C(\C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,Inactive
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,Active
CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,Active
COc1cc(NC(=O)N2CCCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NC(C)=O)n1,Inactive
C=CC(=O)Nc1cc(Nc2nccc(-c3c(C(=O)NCCOC)n(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,Active
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,Inactive
O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,Inactive
CCOc1cc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCCCC1,Active
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,Active
NC(=O)c1c(-c2ccc(Oc3ccc(Cl)cn3)cc2)nn(C2CCCN(C(=O)/C=C/CF)C2)c1N,Active
CN(C)C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(C(=O)N(C)C)CC4)cc3)n2)C1,Inactive
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,Active
Cc1ccc(Oc2ccc(Nc3ncnc4ccc(-c5cn(CCCCCC(=O)NO)nn5)cc34)cc2C)cn1,Active
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCCN2CCN(Cc3ccc(-c4cc5c(NCc6ccccc6Cl)ncnc5[nH]4)cc3)CC2)C(C)(C)C)cc1,Inactive
Fc1ccc(Nc2ncnc3nc(NCCN4CCOCC4)sc23)cc1Cl,Active
O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Active
COc1cc2ncnc(Nc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)c2cc1OCCCN1CCOCC1,Active
O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,Active
C=CC(=O)Nc1cc(-c2cccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)ccn1,Active
COc1cc(-c2ccc3ncnc(NC(C)c4ccccc4)c3c2)cnc1OC,Active
O=C1CSC(N/N=C/c2cccc(F)c2)=N1,Inactive
O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OCC1(OO2)C2CC3CC(C2)CC1C3,Inactive
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCOCCOC(=O)CC(=O)O,Active
O=c1ccc2ccc(Oc3nc(Nc4ccc(N5CCS(=O)(=O)CC5)cc4)nc4ccsc34)cc2[nH]1,Inactive
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1Oc1ccnc(/C=C/CN2CCOCC2)c1,Active
COc1ccccc1C(=O)NCc1ccc(-c2nn([C@H]3CC[C@@H](C(=O)N(C)C)CC3)c3ncnc(N)c23)cc1,Inactive
CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC,Active
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CC2C=CC=CO2)CCO1,Active
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,Active
C=CC(=O)N1CCC(Cn2cc(-c3ccc4c(c3)OCO4)c3c(N)ncnc32)CC1,Inactive
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1CN(C)CCO1,Active
C=CC(=O)Nc1cccc(C)c1Nc1ncc(OCc2c(F)c(OC)cc(OC)c2F)cn1,Inactive
CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,Active
CC[C@@H](Nc1ncnc2oc(-c3ccc(OC)cc3)cc12)c1ccccc1,Active
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NCCCCCC(=O)NO)cc3)cc12)c1ccccc1,Active
COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N1CCCC1,Active
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4C)nc32)c1,Active
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active
COc1ccccc1C(=O)N(C)Cc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,Inactive
O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,Active
C=CC(=O)N1CCC2CN(c3nc(Nc4cnn(C)c4)c4c(c3F)CNC4=O)CC21,Inactive
